dataset,rule,a,source,output
mk06,min,2.5,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=min_a=2.5/mk06/seed_102.json
mk06,min,3.0,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=min_a=3.0/mk06/seed_102.json
mk06,avg,1.5,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=avg_a=1.5/mk06/seed_102.json
mk06,avg,2.0,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=avg_a=2.0/mk06/seed_102.json
mk06,avg,2.5,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=avg_a=2.5/mk06/seed_102.json
mk06,avg,3.0,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=avg_a=3.0/mk06/seed_102.json
mk07,max,1.5,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=max_a=1.5/mk07/seed_102.json
mk07,max,2.0,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=max_a=2.0/mk07/seed_102.json
mk07,max,2.5,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=max_a=2.5/mk07/seed_102.json
mk07,max,3.0,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=max_a=3.0/mk07/seed_102.json
mk07,min,1.5,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=min_a=1.5/mk07/seed_102.json
mk07,min,2.0,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=min_a=2.0/mk07/seed_102.json
mk07,min,2.5,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=min_a=2.5/mk07/seed_102.json
mk07,min,3.0,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=min_a=3.0/mk07/seed_102.json
mk07,avg,1.5,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=avg_a=1.5/mk07/seed_102.json
mk07,avg,2.0,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=avg_a=2.0/mk07/seed_102.json
mk07,avg,2.5,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=avg_a=2.5/mk07/seed_102.json
mk07,avg,3.0,experiments/prepared_instances/mk07/a=1.9-2.4/mk07/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk07/due=avg_a=3.0/mk07/seed_102.json
mk08,max,1.5,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=max_a=1.5/mk08/seed_102.json
mk08,max,2.0,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=max_a=2.0/mk08/seed_102.json
mk08,max,2.5,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=max_a=2.5/mk08/seed_102.json
mk08,max,3.0,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=max_a=3.0/mk08/seed_102.json
mk08,min,1.5,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=min_a=1.5/mk08/seed_102.json
mk08,min,2.0,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=min_a=2.0/mk08/seed_102.json
mk08,min,2.5,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=min_a=2.5/mk08/seed_102.json
mk08,min,3.0,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=min_a=3.0/mk08/seed_102.json
mk08,avg,1.5,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=avg_a=1.5/mk08/seed_102.json
mk08,avg,2.0,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=avg_a=2.0/mk08/seed_102.json
mk08,avg,2.5,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=avg_a=2.5/mk08/seed_102.json
mk08,avg,3.0,experiments/prepared_instances/mk08/a=2.5-3/mk08/seed_104.json,experiments/prepared_instances/fixed_due_15datasets/mk08/due=avg_a=3.0/mk08/seed_102.json
mk09,max,1.5,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=max_a=1.5/mk09/seed_102.json
mk09,max,2.0,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=max_a=2.0/mk09/seed_102.json
mk09,max,2.5,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=max_a=2.5/mk09/seed_102.json
mk09,max,3.0,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=max_a=3.0/mk09/seed_102.json
mk09,min,1.5,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=min_a=1.5/mk09/seed_102.json
mk09,min,2.0,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=min_a=2.0/mk09/seed_102.json
mk09,min,2.5,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=min_a=2.5/mk09/seed_102.json
mk09,min,3.0,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=min_a=3.0/mk09/seed_102.json
mk09,avg,1.5,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=avg_a=1.5/mk09/seed_102.json
mk09,avg,2.0,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=avg_a=2.0/mk09/seed_102.json
mk09,avg,2.5,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=avg_a=2.5/mk09/seed_102.json
mk09,avg,3.0,experiments/prepared_instances/mk09/a=1.8-2.3/mk09/seed_101.json,experiments/prepared_instances/fixed_due_15datasets/mk09/due=avg_a=3.0/mk09/seed_102.json
mk10,max,1.5,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=max_a=1.5/mk10/seed_102.json
mk10,max,2.0,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=max_a=2.0/mk10/seed_102.json
mk10,max,2.5,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=max_a=2.5/mk10/seed_102.json
mk10,max,3.0,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=max_a=3.0/mk10/seed_102.json
mk10,min,1.5,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=min_a=1.5/mk10/seed_102.json
mk10,min,2.0,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=min_a=2.0/mk10/seed_102.json
mk10,min,2.5,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=min_a=2.5/mk10/seed_102.json
mk10,min,3.0,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=min_a=3.0/mk10/seed_102.json
mk10,avg,1.5,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=avg_a=1.5/mk10/seed_102.json
mk10,avg,2.0,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=avg_a=2.0/mk10/seed_102.json
mk10,avg,2.5,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=avg_a=2.5/mk10/seed_102.json
mk10,avg,3.0,experiments/prepared_instances/mk10/a=1.3-1.8/mk10/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk10/due=avg_a=3.0/mk10/seed_102.json
e_la01,max,1.5,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=max_a=1.5/e_la01/seed_102.json
e_la01,max,2.0,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=max_a=2.0/e_la01/seed_102.json
e_la01,max,2.5,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=max_a=2.5/e_la01/seed_102.json
e_la01,max,3.0,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=max_a=3.0/e_la01/seed_102.json
e_la01,min,1.5,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=min_a=1.5/e_la01/seed_102.json
e_la01,min,2.0,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=min_a=2.0/e_la01/seed_102.json
e_la01,min,2.5,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=min_a=2.5/e_la01/seed_102.json
e_la01,min,3.0,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=min_a=3.0/e_la01/seed_102.json
e_la01,avg,1.5,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=avg_a=1.5/e_la01/seed_102.json
e_la01,avg,2.0,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=avg_a=2.0/e_la01/seed_102.json
e_la01,avg,2.5,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=avg_a=2.5/e_la01/seed_102.json
e_la01,avg,3.0,experiments/prepared_instances/public20_combined_templates/e_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/e_la01/due=avg_a=3.0/e_la01/seed_102.json
r_la01,max,1.5,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=max_a=1.5/r_la01/seed_102.json
r_la01,max,2.0,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=max_a=2.0/r_la01/seed_102.json
r_la01,max,2.5,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=max_a=2.5/r_la01/seed_102.json
r_la01,max,3.0,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=max_a=3.0/r_la01/seed_102.json
r_la01,min,1.5,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=min_a=1.5/r_la01/seed_102.json
r_la01,min,2.0,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=min_a=2.0/r_la01/seed_102.json
r_la01,min,2.5,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=min_a=2.5/r_la01/seed_102.json
r_la01,min,3.0,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=min_a=3.0/r_la01/seed_102.json
r_la01,avg,1.5,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=avg_a=1.5/r_la01/seed_102.json
r_la01,avg,2.0,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=avg_a=2.0/r_la01/seed_102.json
r_la01,avg,2.5,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=avg_a=2.5/r_la01/seed_102.json
r_la01,avg,3.0,experiments/prepared_instances/public20_combined_templates/r_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la01/due=avg_a=3.0/r_la01/seed_102.json
v_la01,max,1.5,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=max_a=1.5/v_la01/seed_102.json
v_la01,max,2.0,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=max_a=2.0/v_la01/seed_102.json
v_la01,max,2.5,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=max_a=2.5/v_la01/seed_102.json
v_la01,max,3.0,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=max_a=3.0/v_la01/seed_102.json
v_la01,min,1.5,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=min_a=1.5/v_la01/seed_102.json
v_la01,min,2.0,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=min_a=2.0/v_la01/seed_102.json
